"disease"	"codetype"	"diag_code"	"readcode"	"description"	"comment"
"1"	"Acute coronary syndrome"	"Aurum"	"109915012"	"G310.00"	"Postmyocardial infarction syndrome"	""
"2"	"Acute coronary syndrome"	"Aurum"	"116992017"	"G307.00"	"Acute subendocardial infarction"	""
"3"	"Acute coronary syndrome"	"Aurum"	"118831000006118"	"G35X.00"	"Subsequent myocardial infarction of unspecified site"	""
"4"	"Acute coronary syndrome"	"Aurum"	"1218860015"	"G30y100"	"Acute papillary muscle infarction"	""
"5"	"Acute coronary syndrome"	"Aurum"	"12220751000006113"	""	"Hemopericardium due to and following acute myocardial infarction"	""
"6"	"Acute coronary syndrome"	"Aurum"	"12220761000006110"	""	"Haemopericardium due to and following acute myocardial infarction"	""
"7"	"Acute coronary syndrome"	"Aurum"	"12220771000006115"	""	"Atrial septal defect due to and following acute myocardial infarction"	""
"8"	"Acute coronary syndrome"	"Aurum"	"12220781000006117"	""	"Rupture of chordae tendinae due to and following acute myocardial infarction"	""
"9"	"Acute coronary syndrome"	"Aurum"	"12220791000006119"	""	"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction"	""
"10"	"Acute coronary syndrome"	"Aurum"	"12221301000006119"	""	"Cardiac rupture due to and following acute myocardial infarction"	""
"11"	"Acute coronary syndrome"	"Aurum"	"1229885017"	"G31y100"	"Microinfarction of heart"	""
"12"	"Acute coronary syndrome"	"Aurum"	"1234005010"	"G303.00"	"Acute inferoposterior infarction"	""
"13"	"Acute coronary syndrome"	"Aurum"	"1234306015"	"G30y200"	"Acute septal infarction"	""
"14"	"Acute coronary syndrome"	"Aurum"	"12490701000006116"	""	"Admit ischaemic heart disease emergency"	""
"15"	"Acute coronary syndrome"	"Aurum"	"12727001000006115"	""	"Other acute and subacute ischaemic heart disease"	""
"16"	"Acute coronary syndrome"	"Aurum"	"1488382011"	"G311500"	"Acute coronary syndrome"	""
"17"	"Acute coronary syndrome"	"Aurum"	"1576271000006117"	""	"Cause of Death- Myocardial Infarction"	""
"18"	"Acute coronary syndrome"	"Aurum"	"1576301000006115"	""	"Cause of Death- Acute Myocardial Infarction"	""
"19"	"Acute coronary syndrome"	"Aurum"	"1576311000006117"	""	"Cause of Death- Angina Pectoris"	""
"20"	"Acute coronary syndrome"	"Aurum"	"158611000006118"	"G364.00"	"Ruptur chordae tendinae/curr comp fol acute myocard infarct"	""
"21"	"Acute coronary syndrome"	"Aurum"	"159001000006119"	"G365.00"	"Rupture papillary muscle/curr comp fol acute myocard infarct"	""
"22"	"Acute coronary syndrome"	"Aurum"	"1780491019"	"G30X000"	"Acute ST segment elevation myocardial infarction"	""
"23"	"Acute coronary syndrome"	"Aurum"	"1780501013"	"G307100"	"Acute non-ST segment elevation myocardial infarction"	""
"24"	"Acute coronary syndrome"	"Aurum"	"1786197015"	"G30..12"	"Coronary thrombosis"	""
"25"	"Acute coronary syndrome"	"Aurum"	"1786198013"	"G30..16"	"Thrombosis - coronary"	""
"26"	"Acute coronary syndrome"	"Aurum"	"208365015"	"G38..00"	"Postoperative myocardial infarction"	""
"27"	"Acute coronary syndrome"	"Aurum"	"212061000006119"	"G380.00"	"Postoperative transmural myocardial infarction anterior wall"	""
"28"	"Acute coronary syndrome"	"Aurum"	"212071000006114"	"G381.00"	"Postoperative transmural myocardial infarction inferior wall"	""
"29"	"Acute coronary syndrome"	"Aurum"	"212081000006112"	"G382.00"	"Postoperative transmural myocardial infarction other sites"	""
"30"	"Acute coronary syndrome"	"Aurum"	"212091000006110"	"G383.00"	"Postoperative transmural myocardial infarction unspec site"	""
"31"	"Acute coronary syndrome"	"Aurum"	"219521000000119"	"G30..11"	"Attack - heart"	""
"32"	"Acute coronary syndrome"	"Aurum"	"219531000000117"	"G30..15"	"MI - acute myocardial infarction"	""
"33"	"Acute coronary syndrome"	"Aurum"	"2535177017"	"7.92E+02"	"Emergency percutaneous coronary intervention"	""
"34"	"Acute coronary syndrome"	"Aurum"	"256452010"	"323..00"	"ECG: myocardial infarction"	""
"35"	"Acute coronary syndrome"	"Aurum"	"256455012"	"3233.00"	"ECG: antero-septal infarct."	""
"36"	"Acute coronary syndrome"	"Aurum"	"256457016"	"3234.00"	"ECG:posterior/inferior infarct"	""
"37"	"Acute coronary syndrome"	"Aurum"	"256458014"	"3235.00"	"ECG: subendocardial infarct"	""
"38"	"Acute coronary syndrome"	"Aurum"	"256459018"	"3236.00"	"ECG: lateral infarction"	""
"39"	"Acute coronary syndrome"	"Aurum"	"256460011"	"323Z.00"	"ECG: myocardial infarct NOS"	""
"40"	"Acute coronary syndrome"	"Aurum"	"2571561000006118"	""	"Pre-infarction syndrome"	""
"41"	"Acute coronary syndrome"	"Aurum"	"2571571000006113"	""	"Preinfarction angina"	""
"42"	"Acute coronary syndrome"	"Aurum"	"2619484018"	"G311011"	"MI - Myocardial infarction aborted"	""
"43"	"Acute coronary syndrome"	"Aurum"	"2663441000006117"	""	"Acute infarction of papillary muscle"	""
"44"	"Acute coronary syndrome"	"Aurum"	"2855301000006112"	""	"Myocardial infarction"	""
"45"	"Acute coronary syndrome"	"Aurum"	"2855311000006110"	""	"Infarction of heart"	""
"46"	"Acute coronary syndrome"	"Aurum"	"2855321000006119"	""	"Cardiac infarction"	""
"47"	"Acute coronary syndrome"	"Aurum"	"2855341000006114"	""	"MI - Myocardial infarction"	""
"48"	"Acute coronary syndrome"	"Aurum"	"2855351000006111"	""	"Myocardial infarct"	""
"49"	"Acute coronary syndrome"	"Aurum"	"299707016"	"G301.00"	"Other specified anterior myocardial infarction"	""
"50"	"Acute coronary syndrome"	"Aurum"	"299708014"	"G301000"	"Acute anteroapical infarction"	""
